nick,country,stats_link,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact
BnTeT,Indonesia,https://www.hltv.org//stats/players/7131/bntet,"['TYLOO', 'Gen.G', 'EXTREMUM']",1016,26493,3841,1.23,1.15,20329,39.8,16488,5.1,0.77,0.14,0.62,0.1,0.12,74.7,1.15
coldzera,Brazil,https://www.hltv.org//stats/players/9216/coldzera,"['SK', 'FaZe', 'Luminosity', 'MIBR']",1410,36822,5672,1.25,1.15,28326,49.4,22654,2.4,0.77,0.11,0.62,0.08,0.1,73.5,1.09
XigN,Korea,https://www.hltv.org//stats/players/9172/xign,"['NKT', 'MVP PK', 'MVP Project']",694,17953,2392,1.2,1.15,14100,52.3,11708,2.7,0.79,0.12,0.65,0.09,0.1,73.3,1.23
Sico,New Zealand,https://www.hltv.org//stats/players/9102/sico,"['Renegades', 'Grayhound', 'ORDER', 'Kings']",888,22524,3782,1.29,1.15,16985,35.2,13203,7.0,0.75,0.14,0.59,0.09,0.1,74.1,1.18
blameF,Denmark,https://www.hltv.org//stats/players/15165/blamef,"['Astralis', 'Complexity', 'Heroic', 'Epsilon']",834,22326,3429,1.25,1.15,16962,39.2,13533,7.0,0.76,0.14,0.61,0.07,0.09,74.0,1.21
KSCERATO,Brazil,https://www.hltv.org//stats/players/15631/kscerato,['FURIA'],890,23120,3730,1.28,1.15,17117,49.6,13387,5.4,0.74,0.13,0.58,0.08,0.1,75.2,1.09
Benkai,Singapore,https://www.hltv.org//stats/players/8944/benkai,"['BOOT-d[S]', 'BOOT', 'dream[S]cape']",603,15560,2046,1.2,1.14,12164,46.7,10118,4.2,0.78,0.14,0.65,0.07,0.1,71.7,1.25
Jame,Russia,https://www.hltv.org//stats/players/13776/jame,"['AVANGAR', 'Virtus.pro']",1154,30609,5191,1.31,1.14,22028,25.2,16837,3.9,0.72,0.09,0.55,0.07,0.09,73.8,1.12
XELLOW,Romania,https://www.hltv.org//stats/players/9626/xellow,['Nexus'],1054,27629,3258,1.18,1.14,21580,40.8,18322,1.8,0.78,0.11,0.66,0.09,0.1,70.7,1.27
Texta,Australia,https://www.hltv.org//stats/players/11847/texta,"['Chiefs', 'Athletico', 'Dark Sided']",625,15713,1750,1.16,1.13,12510,40.3,10760,3.6,0.8,0.18,0.68,0.1,0.13,73.3,1.29
mhL,Poland,https://www.hltv.org//stats/players/16847/mhl,"['MOUZ NXT', 'AGO']",458,12268,1592,1.2,1.13,9397,28.4,7805,3.9,0.77,0.12,0.64,0.1,0.11,70.8,1.22
El1an,Russia,https://www.hltv.org//stats/players/13281/el1an,"['Entropiq', 'Winstrike', 'EPG']",1262,33663,4681,1.23,1.13,25346,27.2,20665,2.7,0.75,0.11,0.61,0.07,0.08,70.6,1.22
oskar,Czech Republic,https://www.hltv.org//stats/players/798/oskar,"['MOUZ', 'SINNERS', 'HellRaisers']",1458,38450,4848,1.2,1.13,29326,30.5,24478,3.4,0.76,0.1,0.64,0.07,0.08,70.4,1.21
kennyS,France,https://www.hltv.org//stats/players/7167/kennys,"['G2', 'Envy', 'Titan']",1852,48898,6331,1.21,1.13,37067,31.2,30736,3.4,0.76,0.11,0.63,0.09,0.11,70.7,1.12
frozen,Slovakia,https://www.hltv.org//stats/players/9960/frozen,"['MOUZ', 'eXtatus']",1168,30540,3450,1.17,1.13,23231,54.8,19781,5.0,0.76,0.13,0.65,0.09,0.11,72.9,1.19
huNter-,Bosnia and Herzegovina,https://www.hltv.org//stats/players/3972/hunter,"['G2', 'Valiance', 'Binary Dragons']",1433,37829,4137,1.16,1.12,29347,49.4,25210,5.5,0.78,0.14,0.67,0.1,0.11,72.1,1.24
mantuu,Poland,https://www.hltv.org//stats/players/10981/mantuu,"['OG', 'ALTERNATE aTTaX', 'PANTHERS']",682,18286,2345,1.21,1.12,13659,35.8,11314,3.4,0.75,0.11,0.62,0.09,0.12,72.9,1.17
yuurih,Brazil,https://www.hltv.org//stats/players/12553/yuurih,['FURIA'],982,25589,3107,1.19,1.12,19381,44.4,16274,4.9,0.76,0.15,0.64,0.09,0.11,73.3,1.16
erkaSt,Mongolia,https://www.hltv.org//stats/players/11141/erkast,"['Grayhound', 'TIGER', 'Immunity']",859,22286,2504,1.17,1.12,17206,50.2,14702,5.0,0.77,0.15,0.66,0.09,0.09,72.2,1.2
Freeman,Hong Kong,https://www.hltv.org//stats/players/10774/freeman,"['ViCi', 'TYLOO', 'VG.Flash']",742,18909,2151,1.18,1.12,14338,49.3,12187,2.9,0.76,0.13,0.64,0.09,0.11,72.9,1.15
INS,Australia,https://www.hltv.org//stats/players/11140/ins,"['Renegades', 'Chiefs', 'ORDER', 'Tainted Minds']",932,23654,2654,1.17,1.12,17975,42.4,15321,8.5,0.76,0.17,0.65,0.1,0.09,72.3,1.26
chelleos,New Zealand,https://www.hltv.org//stats/players/12877/chelleos,"['Paradox', 'Rooster', 'madlikewizards']",559,14429,1455,1.15,1.12,11255,32.0,9800,4.1,0.78,0.13,0.68,0.1,0.09,69.5,1.39
vsm,Brazil,https://www.hltv.org//stats/players/16816/vsm,"['00NATION', 'DETONA']",533,14130,1485,1.16,1.12,10883,47.0,9398,3.1,0.77,0.13,0.67,0.09,0.1,71.7,1.25
woxic,Turkey,https://www.hltv.org//stats/players/8574/woxic,"['Eternal Fire', 'HellRaisers', 'MOUZ', 'DarkPassage']",1131,29650,3684,1.2,1.12,21900,32.3,18203,2.4,0.74,0.11,0.61,0.08,0.1,71.4,1.17
liTTle,Russia,https://www.hltv.org//stats/players/1088/little,"['forZe', 'RuSh3D', 'Spartak', 'Enso']",458,12159,1550,1.2,1.12,9317,27.7,7766,2.6,0.77,0.1,0.64,0.07,0.09,71.4,1.22
ropz,Estonia,https://www.hltv.org//stats/players/11816/ropz,['MOUZ'],1090,28804,3640,1.21,1.12,21373,51.7,17733,2.4,0.74,0.11,0.62,0.07,0.09,72.5,1.1
dream3r,Bulgaria,https://www.hltv.org//stats/players/8412/dream3r,"['SKADE', 'E-frag.net', 'Fiend']",1233,32271,4176,1.21,1.12,24015,49.7,19839,3.2,0.74,0.12,0.61,0.08,0.11,73.3,1.06
kNgV-,Brazil,https://www.hltv.org//stats/players/5736/kngv,"['MIBR', 'INTZ']",827,21606,2406,1.17,1.12,16548,32.7,14142,2.1,0.77,0.1,0.65,0.08,0.09,70.1,1.22
Jamppi,Finland,https://www.hltv.org//stats/players/14087/jamppi,"['SJ', 'ENCE']",503,13449,1408,1.16,1.12,10302,31.8,8894,2.8,0.77,0.1,0.66,0.08,0.09,69.8,1.28
wrath,United States,https://www.hltv.org//stats/players/9884/wrath,"['New Identity', 'Secret Club', 'BlackOut']",525,13568,1239,1.13,1.12,10634,50.1,9395,3.5,0.78,0.14,0.69,0.11,0.14,72.2,1.21
xsepower,Russia,https://www.hltv.org//stats/players/12733/xsepower,"['K23', 'forZe']",1219,32700,4556,1.24,1.11,23591,24.9,19035,2.2,0.72,0.08,0.58,0.07,0.08,71.3,1.2
oSee,United States,https://www.hltv.org//stats/players/13249/osee,"['Extra Salt', 'Singularity', 'Cloud9']",1067,27680,3361,1.19,1.11,20626,31.8,17265,2.9,0.75,0.11,0.62,0.11,0.12,73.2,1.14
PTC,Thailand,https://www.hltv.org//stats/players/13238/ptc,"['Lucid Dream', '5POWER']",476,12393,1408,1.18,1.11,9304,36.1,7896,2.0,0.75,0.1,0.64,0.08,0.09,71.2,1.19
GuardiaN,Slovakia,https://www.hltv.org//stats/players/2757/guardian,"['Natus Vincere', 'FaZe']",1568,41069,4811,1.19,1.11,30375,29.6,25564,2.8,0.74,0.11,0.62,0.08,0.09,69.8,1.1
Twistzz,Canada,https://www.hltv.org//stats/players/10394/twistzz,"['FaZe', 'Liquid']",1336,35058,3874,1.18,1.11,25698,62.3,21824,3.3,0.73,0.11,0.62,0.1,0.12,73.8,1.08
NEOFRAG,Czech Republic,https://www.hltv.org//stats/players/15821/neofrag,['SINNERS'],644,17257,1550,1.13,1.11,13155,49.0,11605,8.5,0.76,0.16,0.67,0.09,0.12,71.6,1.26
splashske,Singapore,https://www.hltv.org//stats/players/8943/splashske,"['BOOT-d[S]', 'HZ', 'BOOT', 'dream[S]cape']",722,18651,1811,1.15,1.11,14145,38.4,12334,3.5,0.76,0.11,0.66,0.09,0.09,70.2,1.25
dgt,Uruguay,https://www.hltv.org//stats/players/14736/dgt,['9z'],403,10643,1319,1.2,1.11,7848,49.7,6529,3.5,0.74,0.12,0.61,0.09,0.12,73.9,1.08
zorte,Russia,https://www.hltv.org//stats/players/15662/zorte,"['forZe', 'Unique']",684,18227,2218,1.2,1.11,13326,36.9,11108,2.6,0.73,0.09,0.61,0.09,0.11,72.4,1.16
ottoNd,Finland,https://www.hltv.org//stats/players/11283/ottond,"['HAVU', 'Valiance', 'CR4ZY', 'c0ntact']",853,22545,2631,1.19,1.11,16676,26.8,14045,3.3,0.74,0.11,0.62,0.09,0.11,71.5,1.17
FREDDyFROG,Sweden,https://www.hltv.org//stats/players/9277/freddyfrog,"['Chaos', 'Red Reserve', 'Apeks', 'Japaleno', 'Galaxy Racer']",1207,32156,3616,1.18,1.11,23743,40.3,20127,3.9,0.74,0.14,0.63,0.09,0.11,73.4,1.13
Brehze,United States,https://www.hltv.org//stats/players/9136/brehze,"['Evil Geniuses', 'NRG']",1164,30296,2781,1.14,1.1,23029,52.4,20248,2.5,0.76,0.12,0.67,0.1,0.12,71.9,1.15
Infinite,United States,https://www.hltv.org//stats/players/14619/infinite,['Party Astronauts'],809,21112,1993,1.14,1.1,15744,50.9,13751,4.8,0.75,0.14,0.65,0.1,0.11,72.6,1.17
TenZ,Canada,https://www.hltv.org//stats/players/13254/tenz,"['Bad News Bears', 'ATK']",401,10399,839,1.12,1.1,7931,51.3,7092,3.2,0.76,0.14,0.68,0.1,0.12,71.5,1.21
f0rest,Sweden,https://www.hltv.org//stats/players/29/f0rest,"['Dignitas', 'NIP']",2083,54162,5669,1.16,1.1,40884,51.9,35215,3.7,0.75,0.12,0.65,0.09,0.1,70.5,1.07
CeRq,Bulgaria,https://www.hltv.org//stats/players/11219/cerq,"['Evil Geniuses', 'NRG', 'Outlaws']",1199,31114,3425,1.18,1.1,22812,27.9,19387,2.4,0.73,0.1,0.62,0.1,0.11,72.2,1.16
Olivia,Thailand,https://www.hltv.org//stats/players/10664/olivia,"['Beyond', 'Alpha Red', 'Signature']",634,16189,1565,1.15,1.1,12279,37.0,10714,2.4,0.76,0.11,0.66,0.08,0.09,70.6,1.19
poizon,Bulgaria,https://www.hltv.org//stats/players/12126/poizon,"['Complexity', 'Windigo', 'Bpro']",1101,29160,2855,1.15,1.1,21485,33.6,18630,3.8,0.74,0.12,0.64,0.09,0.1,70.6,1.2
mertz,Denmark,https://www.hltv.org//stats/players/9895/mertz,"['North Academy', 'Heroic', 'North', 'Nordavind', 'Singularity']",955,25333,2594,1.16,1.1,19077,32.5,16483,2.4,0.75,0.1,0.65,0.1,0.1,70.4,1.22
ekul,Australia,https://www.hltv.org//stats/players/14505/ekul,"['Paradox', 'SYF']",449,11608,1003,1.13,1.1,8845,36.6,7842,2.9,0.76,0.11,0.68,0.08,0.09,68.7,1.29
nawwk,Sweden,https://www.hltv.org//stats/players/13670/nawwk,"['Apeks', 'GamerLegion', 'NIP', 'x6tence Galaxy']",855,22808,2649,1.19,1.1,16778,35.3,14129,2.8,0.74,0.1,0.62,0.09,0.11,71.7,1.09
WARDELL,Canada,https://www.hltv.org//stats/players/11264/wardell,"['Ghost', ""Bee's Money Crew"", 'Orgless']",609,15901,1648,1.17,1.1,11627,27.2,9979,2.1,0.73,0.1,0.63,0.09,0.1,70.9,1.19
swag,United States,https://www.hltv.org//stats/players/5021/swag,"['Swole Patrol', 'Torqued', 'iBUYPOWER', 'Lazarus']",556,14447,1629,1.18,1.1,10527,49.5,8898,4.7,0.73,0.14,0.62,0.08,0.09,72.9,1.09
hades,Poland,https://www.hltv.org//stats/players/16848/hades,"['ENCE', 'Wisla Krakow']",555,14898,1711,1.18,1.1,10992,29.8,9281,2.3,0.74,0.09,0.62,0.07,0.08,71.0,1.12
mir,Russia,https://www.hltv.org//stats/players/8789/mir,"['Spirit', 'Vega Squadron', 'Gambit']",980,25665,2534,1.15,1.1,19402,52.2,16868,5.0,0.76,0.13,0.66,0.1,0.12,72.0,1.19
HEN1,Brazil,https://www.hltv.org//stats/players/8565/hen1,"['Immortals', 'FURIA', 'Luminosity']",1076,27940,3457,1.21,1.1,19719,28.6,16262,3.8,0.71,0.12,0.58,0.08,0.09,72.9,1.09
aliStair,Australia,https://www.hltv.org//stats/players/11139/alistair,"['Renegades', 'ORDER', 'Chiefs']",1043,26510,2838,1.17,1.1,19355,35.1,16517,3.4,0.73,0.12,0.62,0.09,0.09,71.4,1.21
h4rn,Bulgaria,https://www.hltv.org//stats/players/20097/h4rn,"['FATE', 'Fiend']",511,13616,1525,1.18,1.1,9803,29.1,8278,3.3,0.72,0.1,0.61,0.09,0.09,71.8,1.11
Ax1Le,Russia,https://www.hltv.org//stats/players/16555/ax1le,"['Gambit Youngsters', 'Gambit']",920,24383,2458,1.16,1.1,17753,48.9,15295,5.1,0.73,0.14,0.63,0.09,0.1,72.4,1.15
dumau,Brazil,https://www.hltv.org//stats/players/15698/dumau,"['GODSENT', 'Yeah']",432,11453,1265,1.18,1.1,8417,41.3,7152,4.6,0.73,0.13,0.62,0.08,0.11,72.5,1.12
Calyx,Turkey,https://www.hltv.org//stats/players/8575/calyx,"['Eternal Fire', 'Space Soldiers', 'DarkPassage']",1066,27822,2847,1.16,1.1,20404,56.9,17540,3.6,0.73,0.12,0.63,0.09,0.1,72.7,1.09
moose,Canada,https://www.hltv.org//stats/players/12271/moose,"['eUnited', 'Rise Nation']",752,19559,1975,1.16,1.1,14503,44.1,12528,2.0,0.74,0.12,0.64,0.08,0.09,71.5,1.12
nython,Brazil,https://www.hltv.org//stats/players/18743/nython,"['paiN', 'RED Canids', 'Paquetá']",477,12731,1272,1.15,1.1,9580,37.9,8308,2.3,0.75,0.11,0.65,0.09,0.1,71.4,1.17
xccurate,Indonesia,https://www.hltv.org//stats/players/10263/xccurate,"['TYLOO', 'Recca', 'BTRG', 'NKT']",698,18113,1724,1.15,1.09,13334,31.2,11610,1.9,0.74,0.1,0.64,0.1,0.1,71.1,1.14
mixwell,Spain,https://www.hltv.org//stats/players/8370/mixwell,"['OpTic', 'Movistar Riders']",840,21804,1911,1.13,1.09,16275,38.1,14364,5.7,0.75,0.13,0.66,0.1,0.1,71.2,1.22
allu,Finland,https://www.hltv.org//stats/players/695/allu,"['ENCE', 'NIP', 'FaZe']",1610,42162,4305,1.16,1.09,31240,28.6,26935,3.7,0.74,0.11,0.64,0.08,0.09,69.9,1.13
electroNic,Russia,https://www.hltv.org//stats/players/8918/electronic,"['Natus Vincere', 'FlipSid3']",1279,33752,3016,1.14,1.09,25165,50.5,22149,4.6,0.75,0.14,0.66,0.09,0.1,71.8,1.19
Farlig,Denmark,https://www.hltv.org//stats/players/13300/farlig,"['Copenhagen Flames', 'FunPlus Phoenix', 'GODSENT']",681,18202,1822,1.16,1.09,13265,33.4,11443,2.3,0.73,0.09,0.63,0.09,0.1,70.2,1.14
syrsoN,Germany,https://www.hltv.org//stats/players/7266/syrson,"['BIG', 'ALTERNATE aTTaX', 'Sprout']",1688,44789,4493,1.16,1.09,32760,29.6,28267,2.5,0.73,0.1,0.63,0.08,0.09,70.0,1.2
lollipop21k,Belarus,https://www.hltv.org//stats/players/13980/lollipop21k,"['Nemiga', 'GoodJob']",1149,30740,2490,1.12,1.09,23157,49.2,20664,3.7,0.75,0.13,0.67,0.09,0.1,72.2,1.13
floppy,United States,https://www.hltv.org//stats/players/12713/floppy,"['Cloud9', 'Singularity']",791,20779,1735,1.13,1.09,15453,49.4,13718,3.1,0.74,0.14,0.66,0.11,0.14,73.4,1.14
PwnAlone,United States,https://www.hltv.org//stats/players/15090/pwnalone,"['Party Astronauts', 'New England Whalers', 'High Coast']",888,23148,2189,1.15,1.09,16836,31.8,14647,3.3,0.73,0.12,0.63,0.1,0.1,71.8,1.17
Spinx,Israel,https://www.hltv.org//stats/players/18221/spinx,"['ENCE', 'c0ntact']",405,10737,943,1.14,1.09,7918,56.9,6975,3.5,0.74,0.11,0.65,0.09,0.1,71.2,1.12
GeT_RiGhT,Sweden,https://www.hltv.org//stats/players/39/get-right,['NIP'],1745,45030,4298,1.15,1.09,33271,49.3,28973,4.4,0.74,0.15,0.64,0.09,0.08,68.9,1.03
JUGi,Denmark,https://www.hltv.org//stats/players/8783/jugi,"['Heroic', 'OpTic', 'Tricked', 'North']",940,24427,2676,1.18,1.09,17527,27.8,14851,2.4,0.72,0.1,0.61,0.08,0.1,72.0,1.13
dexter,Australia,https://www.hltv.org//stats/players/9115/dexter,"['MOUZ', 'Grayhound', 'Renegades']",956,24578,2061,1.13,1.09,18309,48.8,16248,5.2,0.74,0.14,0.66,0.09,0.1,71.5,1.2
Cooper,United States,https://www.hltv.org//stats/players/15007/cooper,"['Swole Patrol', 'eUnited', 'Triumph']",752,19490,1968,1.16,1.09,14332,32.3,12364,2.2,0.74,0.09,0.63,0.09,0.1,71.3,1.13
Sonic,South Africa,https://www.hltv.org//stats/players/8711/sonic,"['Bravado', 'Extra Salt', 'Cloud9']",940,24238,2217,1.14,1.09,17758,46.6,15541,4.3,0.73,0.13,0.64,0.11,0.12,72.4,1.14
JOTA,Brazil,https://www.hltv.org//stats/players/17861/jota,"['MIBR', 'Bravos', 'Keyd', 'Santos']",387,10061,930,1.14,1.09,7352,41.5,6422,6.4,0.73,0.16,0.64,0.1,0.1,73.2,1.14
zehN,Finland,https://www.hltv.org//stats/players/1378/zehn,"['GODSENT', 'HAVU', 'PENTA', 'FunPlus Phoenix']",1073,28305,2384,1.13,1.09,20665,46.0,18281,7.7,0.73,0.14,0.65,0.08,0.09,71.6,1.1
ZOREE,Finland,https://www.hltv.org//stats/players/8576/zoree,"['HAVU', 'iGame.com', 'SJ']",1656,43985,4449,1.16,1.09,31759,32.2,27310,3.7,0.72,0.1,0.62,0.08,0.1,70.8,1.11
NAF,Canada,https://www.hltv.org//stats/players/8520/naf,"['Liquid', 'OpTic']",1543,40472,3959,1.16,1.09,29440,41.8,25481,5.7,0.73,0.16,0.63,0.1,0.11,73.3,1.1
gas,China,https://www.hltv.org//stats/players/10722/gas,"['Wings Up', 'LGD', 'EDG', 'Aster']",445,11621,709,1.09,1.09,9038,60.3,8329,2.2,0.78,0.12,0.72,0.09,0.12,69.2,1.18
cynic,United States,https://www.hltv.org//stats/players/16546/cynic,"['Party Astronauts', 'Triumph']",625,16171,1541,1.15,1.09,11994,40.7,10453,5.5,0.74,0.14,0.65,0.1,0.11,73.4,1.08
ryx,United States,https://www.hltv.org//stats/players/9042/ryx,"['Echo Fox', 'Splyce', 'Ghost', 'Dignitas', 'Tempo Storm', 'Conquest']",491,12856,1181,1.14,1.09,9797,36.3,8616,3.6,0.76,0.16,0.67,0.09,0.12,72.7,1.11
mezii,United Kingdom,https://www.hltv.org//stats/players/18462/mezii,"['fnatic', 'Endpoint', 'GamerLegion', 'Cloud9', 'Vexed']",500,13551,1240,1.14,1.09,9829,49.8,8589,5.4,0.73,0.14,0.63,0.09,0.12,73.4,1.08
BL1TZ,Australia,https://www.hltv.org//stats/players/12715/bl1tz,"['Chiefs', 'Legacy', 'AVANT', 'Funky Monkeys']",732,18819,1628,1.13,1.09,13957,43.0,12329,2.4,0.74,0.1,0.66,0.08,0.09,69.2,1.15
ScreaM,Belgium,https://www.hltv.org//stats/players/7390/scream,"['Envy', 'G2', 'Titan', 'VeryGames']",1430,37087,3105,1.13,1.09,27501,68.1,24396,3.3,0.74,0.12,0.66,0.1,0.11,71.1,1.11
EliGE,United States,https://www.hltv.org//stats/players/8738/elige,['Liquid'],1582,41424,3014,1.11,1.09,31338,48.9,28324,4.1,0.76,0.16,0.68,0.1,0.12,71.3,1.25
HaZR,Australia,https://www.hltv.org//stats/players/14294/hazr,"['Looking For Org', 'AVANT', 'Breakaway', 'Dire Wolves']",767,19621,1331,1.1,1.09,14687,55.9,13356,4.4,0.75,0.14,0.68,0.11,0.11,71.6,1.19
faveN,Germany,https://www.hltv.org//stats/players/14932/faven,"['Sprout', 'EURONICS']",1315,35117,3080,1.13,1.09,25954,54.4,22874,3.3,0.74,0.12,0.65,0.1,0.12,72.3,1.13
dennyslaw,Bulgaria,https://www.hltv.org//stats/players/13466/dennyslaw,['SKADE'],1121,30168,2782,1.14,1.09,22051,31.4,19269,2.9,0.73,0.1,0.64,0.08,0.1,70.8,1.14
biguzera,Brazil,https://www.hltv.org//stats/players/18141/biguzera,['paiN'],575,15308,1437,1.15,1.09,11066,51.3,9629,5.3,0.72,0.15,0.63,0.1,0.11,73.0,1.13
nex,Germany,https://www.hltv.org//stats/players/7256/nex,"['BIG', 'MOUZ']",1074,28389,2435,1.13,1.09,21063,51.5,18628,4.7,0.74,0.15,0.66,0.1,0.12,72.2,1.04
fer,Brazil,https://www.hltv.org//stats/players/8564/fer,"['SK', 'MIBR', 'Luminosity']",1391,36269,2767,1.11,1.09,27300,44.9,24533,5.0,0.75,0.15,0.68,0.09,0.08,71.4,1.22
k0nfig,Denmark,https://www.hltv.org//stats/players/9078/k0nfig,"['Dignitas', 'OpTic', 'Complexity', 'North']",1512,40027,2502,1.09,1.09,30190,55.8,27688,2.9,0.75,0.13,0.69,0.09,0.1,69.7,1.2
valde,Denmark,https://www.hltv.org//stats/players/9031/valde,"['OG', 'North', 'Heroic']",1230,32676,2826,1.13,1.09,24018,46.8,21192,4.9,0.74,0.13,0.65,0.1,0.1,72.5,1.1
dupreeh,Denmark,https://www.hltv.org//stats/players/7398/dupreeh,"['Astralis', 'TSM']",1903,49550,4374,1.14,1.09,36431,50.6,32057,3.2,0.74,0.14,0.65,0.09,0.09,71.6,1.14
nukkye,Lithuania,https://www.hltv.org//stats/players/13679/nukkye,"['Imperial', 'HellRaisers', 'NoChance']",592,15492,1330,1.13,1.08,11227,39.2,9897,2.6,0.72,0.12,0.64,0.08,0.09,71.4,1.11
Attacker,China,https://www.hltv.org//stats/players/8552/attacker,"['TYLOO', 'Flash']",1244,32013,2709,1.13,1.08,23926,46.4,21217,2.3,0.75,0.14,0.66,0.11,0.12,73.2,1.12
junior,United States,https://www.hltv.org//stats/players/14494/junior,"['Complexity', 'Triumph', 'Bad News Bears', 'FURIA']",463,12120,1338,1.18,1.08,8596,29.3,7258,2.2,0.71,0.09,0.6,0.08,0.1,71.5,1.08
exit,Brazil,https://www.hltv.org//stats/players/11154/exit,"['MIBR', 'Sharks']",696,17883,1848,1.17,1.08,12707,45.3,10859,4.9,0.71,0.13,0.61,0.1,0.12,74.0,1.01
Magisk,Denmark,https://www.hltv.org//stats/players/9032/magisk,"['Astralis', 'SK', 'Dignitas']",1361,35822,3210,1.14,1.08,25858,47.5,22648,5.7,0.72,0.15,0.63,0.09,0.1,72.8,1.12
Savage,China,https://www.hltv.org//stats/players/180/savage,"['VG.CyberZen', 'ViCi', 'CyberZen', '5POWER']",836,21434,1926,1.14,1.08,15647,37.0,13721,5.5,0.73,0.13,0.64,0.09,0.09,71.2,1.15
Machinegun,Mongolia,https://www.hltv.org//stats/players/9247/machinegun,"['TheMongolz', 'Mazaalai', 'Splyce']",421,10714,671,1.09,1.08,8143,50.0,7472,3.1,0.76,0.13,0.7,0.08,0.09,68.7,1.19
DJOXiC,Serbia,https://www.hltv.org//stats/players/3543/djoxic,"['Binary Dragons', 'iNation', 'Valiance']",489,12531,1204,1.15,1.08,9002,29.8,7798,2.9,0.72,0.1,0.62,0.09,0.1,70.6,1.16
Detrony,South Africa,https://www.hltv.org//stats/players/7993/detrony,['Bravado'],412,10449,862,1.13,1.08,7633,34.7,6771,4.4,0.73,0.13,0.65,0.1,0.09,71.2,1.17
Summer,China,https://www.hltv.org//stats/players/7028/summer,"['TYLOO', 'Flash']",1251,32235,2836,1.14,1.08,23556,48.8,20720,5.6,0.73,0.14,0.64,0.09,0.09,72.9,1.1
Hatz,Australia,https://www.hltv.org//stats/players/11162/hatz,"['Renegades', 'ORDER', 'Kings']",933,23765,2055,1.14,1.08,17120,50.8,15065,5.1,0.72,0.14,0.63,0.1,0.11,73.2,1.15
keev,Germany,https://www.hltv.org//stats/players/5799/keev,"['ALTERNATE aTTaX', 'BIG', 'KILLERFISH']",594,15524,1217,1.12,1.08,11408,29.1,10191,2.8,0.73,0.09,0.66,0.08,0.08,68.0,1.21
felps,Brazil,https://www.hltv.org//stats/players/9219/felps,"['SK', 'GODSENT', 'Immortals', 'Tempo Storm']",998,25554,1601,1.09,1.08,19490,43.9,17889,3.5,0.76,0.16,0.7,0.1,0.09,70.4,1.26
draken,Sweden,https://www.hltv.org//stats/players/9255/draken,"['Epsilon', 'NIP', 'Red Reserve']",1093,28857,2660,1.15,1.08,20821,31.0,18161,2.1,0.72,0.1,0.63,0.08,0.08,70.1,1.17
sergej,Finland,https://www.hltv.org//stats/players/11916/sergej,"['GORILLAZ', 'ENCE', 'HAVU']",776,20425,1816,1.14,1.08,14855,48.2,13039,4.0,0.73,0.14,0.64,0.1,0.11,72.3,1.12
pz,Australia,https://www.hltv.org//stats/players/18736/pz,"['VERTEX', 'TRUCKERS WITH ATTITUDE', 'Airborne']",426,11132,949,1.14,1.08,7962,29.3,7013,5.4,0.72,0.12,0.63,0.09,0.09,70.8,1.15
ShahZaM,United States,https://www.hltv.org//stats/players/7810/shahzam,"['Complexity', 'Misfits', 'Echo Fox', 'Conquest', 'OpTic']",966,25252,2058,1.13,1.08,18509,34.0,16451,2.4,0.73,0.1,0.65,0.09,0.1,70.0,1.16
jayzaR,Sweden,https://www.hltv.org//stats/players/8555/jayzar,"['Valiance', 'Enyoy']",525,13870,953,1.1,1.08,10382,36.3,9429,3.5,0.75,0.12,0.68,0.09,0.1,70.0,1.21
FL1T,Russia,https://www.hltv.org//stats/players/12732/fl1t,['forZe'],1214,32761,2768,1.13,1.08,24004,46.9,21236,4.3,0.73,0.13,0.65,0.09,0.11,72.3,1.07
Ryxxo,Denmark,https://www.hltv.org//stats/players/8848/ryxxo,"['Tricked', 'Singularity']",834,21932,1896,1.14,1.08,15729,33.0,13833,6.3,0.72,0.12,0.63,0.09,0.1,71.5,1.12
MICHU,Poland,https://www.hltv.org//stats/players/7356/michu,"['Virtus.pro', 'Kinguin', 'CSGL']",1732,45397,3065,1.1,1.08,33874,50.7,30809,3.8,0.75,0.13,0.68,0.09,0.1,70.5,1.15
hAdji,France,https://www.hltv.org//stats/players/9656/hadji,"['LDLC', 'EnVyUs Academy', '3DMAX']",1128,29772,2241,1.11,1.08,21859,48.9,19618,4.1,0.73,0.13,0.66,0.1,0.12,72.2,1.11
Rickeh,Australia,https://www.hltv.org//stats/players/8745/rickeh,"['ORDER', 'CLG', 'Rogue', 'Renegades']",948,24829,2351,1.15,1.07,17589,37.8,15238,5.2,0.71,0.13,0.61,0.08,0.09,72.7,1.14
ptr,United States,https://www.hltv.org//stats/players/8707/ptr,"['Bad News Bears', 'NRG', 'Complexity']",1132,29624,2697,1.15,1.07,20902,26.0,18205,3.4,0.71,0.11,0.61,0.09,0.1,71.4,1.11
slaxz-,Germany,https://www.hltv.org//stats/players/15370/slaxz,"['Sprout', 'ALTERNATE aTTaX']",853,23053,1991,1.14,1.07,16323,29.6,14332,3.1,0.71,0.1,0.62,0.09,0.09,70.9,1.14
